repo_name,trial,source_ncss,test_classes,test_functions,test_ncss,test_javadocs,debug,obfuscate,optimize,parallelgc,num_bytecode_ops,total_unit_test_time,allocated_bytes,jar_file_size_bytes,compile_time_ms
paweln1986-testException-5da0aa8,0,18,3,6,46,0,1,1,0,1,419,4.854,10058392,4968,4248
paweln1986-testException-5da0aa8,1,18,3,6,46,0,1,1,0,1,419,3.566,10058456,4967,4271
paweln1986-testException-5da0aa8,2,18,3,6,46,0,1,1,0,1,419,3.336,10058456,4967,4860
paweln1986-testException-5da0aa8,3,18,3,6,46,0,1,1,0,1,419,3.411,10058424,4968,4311
paweln1986-testException-5da0aa8,4,18,3,6,46,0,1,1,0,1,419,3.651,10058456,4964,4249
paweln1986-testException-5da0aa8,0,18,3,6,46,0,1,0,1,1,419,5.118,10058456,4155,4369
paweln1986-testException-5da0aa8,1,18,3,6,46,0,1,0,1,1,419,3.468,10058456,4155,4680
paweln1986-testException-5da0aa8,2,18,3,6,46,0,1,0,1,1,419,3.273,10058456,4156,4417
paweln1986-testException-5da0aa8,3,18,3,6,46,0,1,0,1,1,419,1.822,10058456,4156,4701
paweln1986-testException-5da0aa8,4,18,3,6,46,0,1,0,1,1,419,3.528,10058448,4155,4841
paweln1986-testException-5da0aa8,0,18,3,6,46,0,1,0,0,0,419,1.827,10061912,4155,2298
paweln1986-testException-5da0aa8,1,18,3,6,46,0,1,0,0,0,419,1.946,10061912,4156,2349
paweln1986-testException-5da0aa8,2,18,3,6,46,0,1,0,0,0,419,1.896,10061904,4156,2437
paweln1986-testException-5da0aa8,3,18,3,6,46,0,1,0,0,0,419,1.885,10061912,4156,2446
paweln1986-testException-5da0aa8,4,18,3,6,46,0,1,0,0,0,419,1.901,10061856,4155,2351
paweln1986-testException-5da0aa8,0,18,3,6,46,0,1,0,1,0,419,1.878,10061872,4155,2392
paweln1986-testException-5da0aa8,1,18,3,6,46,0,1,0,1,0,419,2.059,10061904,4155,2314
paweln1986-testException-5da0aa8,2,18,3,6,46,0,1,0,1,0,419,1.856,10061904,4156,2350
paweln1986-testException-5da0aa8,3,18,3,6,46,0,1,0,1,0,419,1.851,10061912,4156,2337
paweln1986-testException-5da0aa8,4,18,3,6,46,0,1,0,1,0,419,1.842,10061912,4156,2372
paweln1986-testException-5da0aa8,0,18,3,6,46,0,0,0,0,0,419,1.856,10059672,3979,2344
paweln1986-testException-5da0aa8,1,18,3,6,46,0,0,0,0,0,419,1.85,10059672,3979,2312
paweln1986-testException-5da0aa8,2,18,3,6,46,0,0,0,0,0,419,1.895,10059608,3979,2328
paweln1986-testException-5da0aa8,3,18,3,6,46,0,0,0,0,0,419,1.913,10059680,3979,2321
paweln1986-testException-5da0aa8,4,18,3,6,46,0,0,0,0,0,419,1.913,10059624,3979,2386
paweln1986-testException-5da0aa8,0,18,3,6,46,0,1,1,0,0,419,3.92,10061904,4966,4357
paweln1986-testException-5da0aa8,1,18,3,6,46,0,1,1,0,0,419,3.696,10061840,4967,4263
paweln1986-testException-5da0aa8,2,18,3,6,46,0,1,1,0,0,419,5.059,10061856,4967,4106
paweln1986-testException-5da0aa8,3,18,3,6,46,0,1,1,0,0,419,3.513,10061904,4968,5089
paweln1986-testException-5da0aa8,4,18,3,6,46,0,1,1,0,0,419,3.58,10061912,4969,4345
paweln1986-testException-5da0aa8,0,18,3,6,46,0,0,0,0,1,419,1.851,10056224,3979,2440
paweln1986-testException-5da0aa8,1,18,3,6,46,0,0,0,0,1,419,1.825,10056224,3978,2368
paweln1986-testException-5da0aa8,2,18,3,6,46,0,0,0,0,1,419,1.823,10056216,3979,2329
paweln1986-testException-5da0aa8,3,18,3,6,46,0,0,0,0,1,419,1.82,10056224,3979,2321
paweln1986-testException-5da0aa8,4,18,3,6,46,0,0,0,0,1,419,1.811,10056176,3979,2378
paweln1986-testException-5da0aa8,0,18,3,6,46,0,0,0,1,1,419,1.786,10056216,3979,2301
paweln1986-testException-5da0aa8,1,18,3,6,46,0,0,0,1,1,419,1.795,10056176,3979,2348
paweln1986-testException-5da0aa8,2,18,3,6,46,0,0,0,1,1,419,1.928,10056224,3979,2354
paweln1986-testException-5da0aa8,3,18,3,6,46,0,0,0,1,1,419,1.885,10056224,3978,2366
paweln1986-testException-5da0aa8,4,18,3,6,46,0,0,0,1,1,419,1.846,10056224,3978,2334
paweln1986-testException-5da0aa8,0,18,3,6,46,0,1,0,0,1,419,1.897,10058416,4154,2456
paweln1986-testException-5da0aa8,1,18,3,6,46,0,1,0,0,1,419,1.824,10058456,4156,2334
paweln1986-testException-5da0aa8,2,18,3,6,46,0,1,0,0,1,419,1.786,10058352,4156,2352
paweln1986-testException-5da0aa8,3,18,3,6,46,0,1,0,0,1,419,1.806,10058448,4156,2355
paweln1986-testException-5da0aa8,4,18,3,6,46,0,1,0,0,1,419,1.87,10058392,4155,2326
paweln1986-testException-5da0aa8,0,18,3,6,46,0,0,1,0,0,419,1.866,10059680,4966,2314
paweln1986-testException-5da0aa8,1,18,3,6,46,0,0,1,0,0,419,1.889,10059640,4969,2298
paweln1986-testException-5da0aa8,2,18,3,6,46,0,0,1,0,0,419,1.828,10059680,4966,2278
paweln1986-testException-5da0aa8,3,18,3,6,46,0,0,1,0,0,419,1.88,10059680,4966,2335
paweln1986-testException-5da0aa8,4,18,3,6,46,0,0,1,0,0,419,1.885,10059632,4967,2320
paweln1986-testException-5da0aa8,0,18,3,6,46,0,1,1,1,1,419,3.247,10058456,4968,4251
paweln1986-testException-5da0aa8,1,18,3,6,46,0,1,1,1,1,419,3.399,10058448,4968,4343
paweln1986-testException-5da0aa8,2,18,3,6,46,0,1,1,1,1,419,3.226,10058456,4967,4381
paweln1986-testException-5da0aa8,3,18,3,6,46,0,1,1,1,1,419,3.51,10058448,4966,4469
paweln1986-testException-5da0aa8,4,18,3,6,46,0,1,1,1,1,419,3.325,10058456,4966,4388
paweln1986-testException-5da0aa8,0,18,3,6,46,0,0,1,1,0,419,1.859,10059680,4966,2350
paweln1986-testException-5da0aa8,1,18,3,6,46,0,0,1,1,0,419,1.847,10059640,4968,2349
paweln1986-testException-5da0aa8,2,18,3,6,46,0,0,1,1,0,419,1.882,10059640,4968,2331
paweln1986-testException-5da0aa8,3,18,3,6,46,0,0,1,1,0,419,1.882,10059616,4968,2314
paweln1986-testException-5da0aa8,4,18,3,6,46,0,0,1,1,0,419,1.866,10059672,4971,2272
